trial_name,N_IATs,IATs,stimulus_type,n_words
kennedy6.jpg,1,President,Image,1
Koran,1,Religion,Noun,1
Laughing,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Lesbians,1,Sexuality,Adjective,1
lincolnp1.jpg,1,President,Image,1
lincolnp2.jpg,1,President,Image,1
lincolnp3.jpg,1,President,Image,1
lincolnp4.jpg,1,President,Image,1
lincolnp5.jpg,1,President,Image,1
lincolnp6.jpg,1,President,Image,1
Literature,1,Gender-Science,Noun,1
Love,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Lovely,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Maarten,1,Arab,Name,1
Magnificent,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Male,1,Gender-Science,Noun,1
Man,1,Gender-Science,Noun,1
Management,1,Gender-Career | Gender-Career,Noun,1
Marcelo,1,Arab,Name,1
Marriage,1,Gender-Career | Gender-Career,Noun,1
Math,1,Gender-Science,Noun,1
Matthias,1,Arab,Name,1
Michelle,1,Gender-Career | Gender-Career,Name,1
Mosque,1,Religion,Noun,1
Mother,1,Gender-Science,Noun,1
Muhsin,1,Arab,Name,1
Music,1,Gender-Science,Noun,1
Muslim,1,Religion,Noun,1
Nasty,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
native1.jpg,1,Native-American,Image,1
native2.jpg,1,Native-American,Image,1
native3.jpg,1,Native-American,Image,1
native4.jpg,1,Native-American,Image,1
native5.jpg,1,Native-American,Image,1
native6.jpg,1,Native-American,Image,1
native7.jpg,1,Native-American,Image,1
native8.jpg,1,Native-American,Image,1
Negative,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
nixon1.jpg,1,President,Image,1
nixon2.jpg,1,President,Image,1
nixon3.jpg,1,President,Image,1
nixon4.jpg,1,President,Image,1
nixon5.jpg,1,President,Image,1
nixon6.jpg,1,President,Image,1
obama10.jpg,1,President,Image,1
obama11.jpg,1,President,Image,1
obama12.jpg,1,President,Image,1
obama7.jpg,1,President,Image,1
obama8.jpg,1,President,Image,1
obama9.jpg,1,President,Image,1
of1.jpg,1,Age,Image,1
of2.jpg,1,Age,Image,1
of3.jpg,1,Age,Image,1
Office,1,Gender-Career | Gender-Career,Noun,1
om1.jpg,1,Age,Image,1
om2.jpg,1,Age,Image,1
om3.jpg,1,Age,Image,1
Pain,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
Parents,1,Gender-Career | Gender-Career,Noun,1
Paul,1,Gender-Career | Gender-Career,Name,1
Philippe,1,Arab,Name,1
Philosophy,1,Gender-Science,Noun,1
Physics,1,Gender-Science,Noun,1
Pleasing,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Pleasure,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
Poison,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
Professional,1,Gender-Career | Gender-Career,Noun,1
reagan1.jpg,1,President,Image,1
reagan2.jpg,1,President,Image,1
reagan3.jpg,1,President,Image,1
reagan4.jpg,1,President,Image,1
reagan5.jpg,1,President,Image,1
reagan6.jpg,1,President,Image,1
Rebecca,1,Gender-Career | Gender-Career,Noun,1
recent1.jpg,1,President,Image,1
recent13.jpg,1,President,Image,1
recent14.jpg,1,President,Image,1
recent15.jpg,1,President,Image,1
recent16.jpg,1,President,Image,1
recent2.jpg,1,President,Image,1
recent3.jpg,1,President,Image,1
recent4.jpg,1,President,Image,1
recent5.jpg,1,President,Image,1
recent6.jpg,1,President,Image,1
Relatives,1,Gender-Career | Gender-Career,Noun,1
roosevelt1.jpg,1,President,Image,1
roosevelt2.jpg,1,President,Image,1
roosevelt3.jpg,1,President,Image,1
roosevelt4.jpg,1,President,Image,1
roosevelt5.jpg,1,President,Image,1
roosevelt6.jpg,1,President,Image,1
Rotten,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
Sadness,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Salary,1,Gender-Career | Gender-Career,Noun,1
Salim,1,Arab,Name,1
Scorn,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Selfish,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Sharif,1,Arab,Name,1
Sickening,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Smiling,10,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Transgender | Weight,Adjective,1
Son,1,Gender-Science,Noun,1
Spectacular,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Straight,1,Sexuality,Noun,1
Straight People,1,Sexuality,Multi-Word,2
Synagogue,1,Religion,Noun,1
Takuya,1,Arab,Name,1
tcelb1.jpg,1,Transgender,Image,1
tcelb2.jpg,1,Transgender,Image,1
tcelb5.jpg,1,Transgender,Image,1
tcelb6.jpg,1,Transgender,Image,1
Terrific,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
thinman1.jpg,1,Weight,Image,1
thinman2.jpg,1,Weight,Image,1
thinman3.jpg,1,Weight,Image,1
thinman5.jpg,1,Weight,Image,1
thinman6.jpg,1,Weight,Image,1
thinwoman1.jpg,1,Weight,Image,1
thinwoman2.jpg,1,Weight,Image,1
thinwoman3.jpg,1,Weight,Image,1
thinwoman5.jpg,1,Weight,Image,1
thinwoman6.jpg,1,Weight,Image,1
tone0031a.jpg,1,Skin-Tone,Image,1
tone0031b.jpg,1,Skin-Tone,Image,1
tone0041a.jpg,1,Skin-Tone,Image,1
tone0041b.jpg,1,Skin-Tone,Image,1
tone0051a.jpg,1,Skin-Tone,Image,1
tone0051b.jpg,1,Skin-Tone,Image,1
tone0061a.jpg,1,Skin-Tone,Image,1
tone0061b.jpg,1,Skin-Tone,Image,1
tone0071a.jpg,1,Skin-Tone,Image,1
tone0071b.jpg,1,Skin-Tone,Image,1
tone0081a.jpg,1,Skin-Tone,Image,1
tone0081b.jpg,1,Skin-Tone,Image,1
tone0091a.jpg,1,Skin-Tone,Image,1
tone0091b.jpg,1,Skin-Tone,Image,1
tone0101a.jpg,1,Skin-Tone,Image,1
tone0101b.jpg,1,Skin-Tone,Image,1
tone0111a.jpg,1,Skin-Tone,Image,1
tone0111b.jpg,1,Skin-Tone,Image,1
tone0121a.jpg,1,Skin-Tone,Image,1
tone0121b.jpg,1,Skin-Tone,Image,1
tone0131a.jpg,1,Skin-Tone,Image,1
tone0131b.jpg,1,Skin-Tone,Image,1
tone0141a.jpg,1,Skin-Tone,Image,1
tone0141b.jpg,1,Skin-Tone,Image,1
Torah,1,Religion,Noun,1
Tragic,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Triumph,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
trump1.jpg,1,President,Image,1
trump2.jpg,1,President,Image,1
trump3.jpg,1,President,Image,1
trump4.jpg,1,President,Image,1
trump5.jpg,1,President,Image,1
trump6.jpg,1,President,Image,1
Ugly,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
Uncle,1,Gender-Science,Noun,1
us1.jpg,1,Native-American,Image,1
us2.jpg,1,Native-American,Image,1
us3.jpg,1,Native-American,Image,1
us4.jpg,1,Native-American,Image,1
us5.jpg,1,Native-American,Image,1
Wahib,1,Arab,Name,1
waxe.jpg,1,Weapons,Image,1
wcannon.jpg,1,Weapons,Image,1
Wedding,1,Gender-Career | Gender-Career,Noun,1
wf1_nc.jpg,1,Race | Race,Image,1
wf2_nc.jpg,1,Race | Race,Image,1
wf2.jpg,1,Weapons,Image,1
wf3_nc.jpg,1,Race | Race,Image,1
wf3.jpg,1,Weapons,Image,1
wf6.jpg,1,Weapons,Image,1
wgrenade.jpg,1,Weapons,Image,1
Wife,1,Gender-Science,Noun,1
wm1_nc.jpg,1,Race | Race,Image,1
wm1.jpg,1,Weapons,Image,1
wm2_nc.jpg,1,Race | Race,Image,1
wm3_nc.jpg,1,Race | Race,Image,1
wm4.jpg,1,Weapons,Image,1
wm6.jpg,1,Weapons,Image,1
wmace.jpg,1,Weapons,Image,1
Woman,1,Gender-Science,Noun,1
world2.jpg,1,Native-American,Image,1
world3.jpg,1,Native-American,Image,1
world5.jpg,1,Native-American,Image,1
world6.jpg,1,Native-American,Image,1
world7.jpg,1,Native-American,Image,1
wrevolver.jpg,1,Weapons,Image,1
wrifle.jpg,1,Weapons,Image,1
wsword.jpg,1,Weapons,Image,1
yf1.jpg,1,Age,Image,1
yf2.jpg,1,Age,Image,1
yf3.jpg,1,Age,Image,1
ym1.jpg,1,Age,Image,1
ym2.jpg,1,Age,Image,1
ym3.jpg,1,Age,Image,1
Yousef,1,Arab,Name,1
Yucky,9,Age | Arab | Disability | President | Race | Religion | Sexuality | Skin-Tone | Weight,Adjective,1
